County,total_transactions,mean_monthly_transactions,lag_12_baseline_rmse,lag_12_baseline_mae,lag_12_baseline_wape_pct,poisson_glm_rmse,poisson_glm_mae,poisson_glm_wape_pct,random_forest_rmse,random_forest_mae,random_forest_wape_pct,baseline_rmse,ml_rmse,statistical_rmse,ml_improvement_vs_baseline_pct,statistical_improvement_vs_baseline_pct
King,21776,1814.67,252.7,202.75,11.17,199.49,138.56,7.64,627.05,595.15,32.8,252.7,627.05,199.49,-148.14,21.06
Pierce,16658,1388.17,480.19,383.08,27.6,493.07,405.54,29.21,456.17,421.99,30.4,480.19,456.17,493.07,5.0,-2.68
Clark,15175,1264.58,225.1,206.0,16.29,107.88,83.03,6.57,172.6,123.58,9.77,225.1,172.6,107.88,23.32,52.07
Snohomish,12822,1068.5,130.78,104.83,9.81,146.62,115.8,10.84,171.6,134.04,12.55,130.78,171.6,146.62,-31.21,-12.11
Kitsap,8549,712.42,111.0,104.17,14.62,66.61,53.55,7.52,68.11,47.55,6.67,111.0,68.11,66.61,38.64,39.99
Thurston,8015,667.92,101.01,88.58,13.26,71.8,54.85,8.21,77.68,54.75,8.2,101.01,77.68,71.8,23.1,28.92
Spokane,6947,578.92,108.78,91.08,15.73,61.56,50.34,8.7,61.81,52.98,9.15,108.78,61.81,61.56,43.18,43.41
Whatcom,6126,510.5,74.92,70.83,13.88,41.49,33.79,6.62,59.02,47.41,9.29,74.92,59.02,41.49,21.22,44.62
Benton,3622,301.83,70.14,68.83,22.81,25.63,22.57,7.48,27.4,23.79,7.88,70.14,27.4,25.63,60.94,63.46
Skagit,2952,246.0,35.21,29.08,11.82,35.65,25.57,10.39,45.85,36.71,14.92,35.21,45.85,35.65,-30.22,-1.25
Island,2665,222.08,32.92,26.17,11.78,26.85,21.94,9.88,35.9,33.35,15.02,32.92,35.9,26.85,-9.05,18.44
Yakima,1807,150.58,36.69,32.58,21.64,16.89,12.11,8.04,14.65,11.54,7.66,36.69,14.65,16.89,60.07,53.97
Chelan,1766,147.17,31.09,26.0,17.67,18.53,17.04,11.58,18.96,17.14,11.65,31.09,18.96,18.53,39.02,40.4
Clallam,1436,119.67,25.42,21.0,17.55,19.01,15.02,12.55,17.44,13.85,11.57,25.42,17.44,19.01,31.39,25.22
Cowlitz,1389,115.75,29.96,26.58,22.97,16.32,13.74,11.87,15.49,12.22,10.55,29.96,15.49,16.32,48.3,45.53
Jefferson,1302,108.5,20.91,17.92,16.51,13.22,11.66,10.75,10.61,8.85,8.16,20.91,10.61,13.22,49.26,36.78
Mason,1292,107.67,22.58,21.42,19.89,11.66,10.39,9.65,8.24,7.37,6.85,22.58,8.24,11.66,63.51,48.36
Franklin,1199,99.92,29.9,25.58,25.6,15.21,12.23,12.24,14.48,11.3,11.3,29.9,14.48,15.21,51.57,49.13
San Juan,1172,97.67,14.06,12.08,12.37,8.36,6.99,7.15,9.57,7.79,7.98,14.06,9.57,8.36,31.93,40.54
Kittitas,1124,93.67,25.84,21.17,22.6,16.57,14.82,15.82,15.69,12.65,13.5,25.84,15.69,16.57,39.28,35.87
Grant,1083,90.25,28.45,24.58,27.24,14.26,11.67,12.93,13.91,11.6,12.86,28.45,13.91,14.26,51.11,49.88
Lewis,1024,85.33,21.91,18.67,21.88,12.24,10.29,12.06,11.19,8.99,10.54,21.91,11.19,12.24,48.93,44.14
Grays Harbor,937,78.08,16.22,13.92,17.82,12.21,10.79,13.82,11.12,9.31,11.92,16.22,11.12,12.21,31.44,24.72
Walla Walla,672,56.0,12.63,10.08,18.01,8.28,5.68,10.14,8.19,6.89,12.3,12.63,8.19,8.28,35.15,34.44
Douglas,597,49.75,12.66,9.67,19.43,10.05,7.59,15.27,10.84,9.03,18.14,12.66,10.84,10.05,14.38,20.62
Whitman,461,38.42,8.72,7.58,19.74,6.83,5.55,14.43,8.97,7.37,19.17,8.72,8.97,6.83,-2.87,21.67
Klickitat,456,38.0,11.83,10.67,28.07,7.81,6.84,18.0,7.64,6.61,17.39,11.83,7.64,7.81,35.42,33.98
Okanogan,388,32.33,10.07,8.17,25.26,6.23,5.12,15.83,6.12,4.59,14.19,10.07,6.12,6.23,39.23,38.13
Stevens,348,29.0,9.73,8.58,29.6,4.94,3.71,12.8,4.93,3.8,13.09,9.73,4.93,4.94,49.33,49.23
Pacific,277,23.08,7.7,6.08,26.35,8.08,7.1,30.74,6.23,5.56,24.1,7.7,6.23,8.08,19.09,-4.94
Skamania,273,22.75,9.31,7.75,34.07,7.91,7.07,31.06,6.38,5.1,22.41,9.31,6.38,7.91,31.47,15.04
Adams,125,10.42,4.4,4.0,38.4,3.84,3.19,30.61,2.88,2.38,22.86,4.4,2.88,3.84,34.55,12.73
Pend Oreille,99,8.25,3.91,3.08,37.37,3.22,2.57,31.21,2.9,2.32,28.17,3.91,2.9,3.22,25.83,17.65
Asotin,87,7.25,3.81,3.17,43.68,3.52,2.65,36.56,3.18,2.36,32.52,3.81,3.18,3.52,16.54,7.61
Lincoln,68,5.67,3.52,3.08,54.41,2.79,2.26,39.85,2.49,1.86,32.88,3.52,2.49,2.79,29.26,20.74
Wahkiakum,67,5.58,3.12,2.25,40.3,2.59,2.36,42.22,2.46,1.91,34.18,3.12,2.46,2.59,21.15,16.99
Ferry,53,4.42,1.87,1.33,30.19,2.02,1.61,36.54,1.32,1.18,26.7,1.87,1.32,2.02,29.41,-8.02
Columbia,21,1.75,1.19,0.92,52.38,1.34,0.91,51.8,1.06,0.8,45.98,1.19,1.06,1.34,10.92,-12.61
Garfield,4,0.33,0.71,0.33,100.0,0.69,0.35,104.27,0.69,0.35,104.23,0.71,0.69,0.69,2.82,2.82
