County,Date,actual,lag_12_baseline,random_forest,baseline_absolute_error,ml_absolute_error,ml_error_reduction,absolute_yoy_change_pct,Month,Market_Segment
Adams,2025-08-01,6.0,7.0,8.28747313194727,1.0,2.2874731319472694,-1.2874731319472694,12.5,8,Emerging
Adams,2025-09-01,12.0,7.0,8.119407989855867,5.0,3.8805920101441327,1.1194079898558673,62.5,9,Emerging
Adams,2025-10-01,5.0,8.0,8.120207652407977,3.0,3.120207652407977,-0.12020765240797715,33.33333333333333,10,Emerging
Adams,2025-11-01,12.0,8.0,8.382607810035172,4.0,3.6173921899648285,0.3826078100351715,44.44444444444444,11,Emerging
Adams,2025-12-01,8.0,6.0,8.409252111365523,2.0,0.4092521113655234,1.5907478886344766,28.57142857142857,12,Emerging
Adams,2026-01-01,8.0,6.0,7.097849140217609,2.0,0.9021508597823908,1.0978491402176092,28.57142857142857,1,Emerging
Adams,2026-02-01,13.0,6.0,7.231550080277445,7.0,5.768449919722555,1.2315500802774446,100.0,2,Emerging
Adams,2026-03-01,15.0,11.0,12.105256642159564,4.0,2.8947433578404365,1.1052566421595635,33.33333333333333,3,Emerging
Adams,2026-04-01,13.0,6.0,10.966826871390058,7.0,2.033173128609942,4.966826871390058,100.0,4,Emerging
Adams,2026-05-01,11.0,6.0,11.27183745047381,5.0,0.2718374504738108,4.728162549526189,71.42857142857143,5,Emerging
Adams,2026-06-01,9.0,12.0,12.05283264563737,3.0,3.05283264563737,-0.05283264563736978,23.076923076923077,6,Emerging
Adams,2026-07-01,13.0,8.0,12.669156456024675,5.0,0.330843543975325,4.669156456024675,55.55555555555556,7,Emerging
Asotin,2025-08-01,4.0,2.0,5.779786010521613,2.0,1.7797860105216126,0.22021398947838744,66.66666666666666,8,Growth
Asotin,2025-09-01,13.0,14.0,8.937339290715313,1.0,4.062660709284687,-3.062660709284687,6.666666666666667,9,Growth
Asotin,2025-10-01,6.0,5.0,8.100273877931611,1.0,2.1002738779316115,-1.1002738779316115,16.666666666666664,10,Growth
Asotin,2025-11-01,9.0,3.0,6.023151526653843,6.0,2.9768484733461573,3.0231515266538427,150.0,11,Growth
Asotin,2025-12-01,7.0,3.0,6.309778223894954,4.0,0.6902217761050462,3.309778223894954,100.0,12,Growth
Asotin,2026-01-01,7.0,8.0,7.094420868926883,1.0,0.09442086892688284,0.9055791310731172,11.11111111111111,1,Growth
Asotin,2026-02-01,0.0,8.0,7.923508397619943,8.0,7.923508397619943,0.07649160238005681,88.88888888888889,2,Growth
Asotin,2026-03-01,8.0,6.0,7.808205607865896,2.0,0.19179439213410365,1.8082056078658963,28.57142857142857,3,Growth
Asotin,2026-04-01,6.0,4.0,7.372512502787596,2.0,1.372512502787596,0.627487497212404,40.0,4,Growth
Asotin,2026-05-01,6.0,9.0,8.88176475284736,3.0,2.88176475284736,0.11823524715264,30.0,5,Growth
Asotin,2026-06-01,12.0,7.0,8.203192523534256,5.0,3.7968074764657445,1.2031925235342555,62.5,6,Growth
Asotin,2026-07-01,9.0,6.0,8.581293770970072,3.0,0.4187062290299277,2.5812937709700723,42.857142857142854,7,Growth
Benton,2025-08-01,290.0,215.0,299.32913006820735,75.0,9.329130068207348,65.67086993179265,34.72222222222222,8,Established
Benton,2025-09-01,308.0,244.0,313.3319064758053,64.0,5.331906475805283,58.66809352419472,26.122448979591837,9,Established
Benton,2025-10-01,286.0,216.0,312.74196178232285,70.0,26.741961782322846,43.258038217677154,32.25806451612903,10,Established
Benton,2025-11-01,256.0,194.0,294.31556635534855,62.0,38.31556635534855,23.68443364465145,31.794871794871792,11,Established
Benton,2025-12-01,263.0,222.0,304.5009126036233,41.0,41.500912603623306,-0.5009126036233056,18.385650224215247,12,Established
Benton,2026-01-01,253.0,202.0,300.50110791192935,51.0,47.50110791192935,3.4988920880706473,25.12315270935961,1,Established
Benton,2026-02-01,259.0,183.0,288.3328688997878,76.0,29.332868899787798,46.6671311002122,41.30434782608695,2,Established
Benton,2026-03-01,327.0,261.0,315.23418774672336,66.0,11.765812253276636,54.234187746723364,25.190839694656486,3,Established
Benton,2026-04-01,353.0,258.0,325.34972181068485,95.0,27.650278189315145,67.34972181068485,36.67953667953668,4,Established
Benton,2026-05-01,308.0,237.0,334.1083518584041,71.0,26.10835185840409,44.89164814159591,29.831932773109244,5,Established
