train_end,evaluation_start,evaluation_end,model,rmse,wape_pct,mean_monthly_county_transactions,actual_total_transactions,yoy_change_pct
2020-07-01,2020-08-01,2021-07-01,lag_12_baseline,93.85,37.09,82.08,38412,38.98
2020-07-01,2020-08-01,2021-07-01,poisson_glm,57.4,25.56,82.08,38412,38.98
2020-07-01,2020-08-01,2021-07-01,random_forest,84.1,30.96,82.08,38412,38.98
2021-07-01,2021-08-01,2022-07-01,lag_12_baseline,90.82,30.24,105.45,49351,28.48
2021-07-01,2021-08-01,2022-07-01,poisson_glm,98.4,24.49,105.45,49351,28.48
2021-07-01,2021-08-01,2022-07-01,random_forest,89.18,22.51,105.45,49351,28.48
2022-07-01,2022-08-01,2023-07-01,lag_12_baseline,114.72,35.14,139.21,65148,32.01
2022-07-01,2022-08-01,2023-07-01,poisson_glm,51.84,13.08,139.21,65148,32.01
2022-07-01,2022-08-01,2023-07-01,random_forest,82.29,17.4,139.21,65148,32.01
2023-07-01,2023-08-01,2024-07-01,lag_12_baseline,145.13,33.7,191.33,89542,37.44
2023-07-01,2023-08-01,2024-07-01,poisson_glm,83.06,12.11,191.33,89542,37.44
2023-07-01,2023-08-01,2024-07-01,random_forest,69.59,11.96,191.33,89542,37.44
2024-07-01,2024-08-01,2025-07-01,lag_12_baseline,157.1,29.86,239.72,112188,25.29
2024-07-01,2024-08-01,2025-07-01,poisson_glm,42.73,8.01,239.72,112188,25.29
2024-07-01,2024-08-01,2025-07-01,random_forest,73.54,11.06,239.72,112188,25.29
2025-07-01,2025-08-01,2026-07-01,lag_12_baseline,103.59,16.57,266.74,124834,11.27
2025-07-01,2025-08-01,2026-07-01,poisson_glm,92.95,11.7,266.74,124834,11.27
2025-07-01,2025-08-01,2026-07-01,random_forest,132.57,16.98,266.74,124834,11.27
